geometry,brand,brand:wikidata,name,shop,addr:city,addr:postcode,addr:street,website,addr:housenumber,opening_hours,building,longitude,latitude
POINT (80.2214489 13.0385168),Reliance Fresh,Q7311014,Reliance Fresh,supermarket,,,,,,,,80.2214489,13.038516799999998
POINT (80.2405136 12.9969608),,,Ambika Retail,supermarket,,,,,,,,80.2405136,12.9969608
POINT (80.2509856 13.0071295),,,Reliance Trends,supermarket,,,,,,,,80.2509856,13.007129499999998
POINT (80.2598799 13.0989018),,,ARS SUPER MARKET,supermarket,CHENNAI,600011,Perambur Barracks Rd,,111,,,80.2598799,13.098901799999998
POINT (80.1955743 13.0597055),,,Lakshmi Stores,supermarket,,,,,,,,80.1955743,13.059705499999998
POINT (80.2101801 13.0034121),,,Madras Supermarket,supermarket,,600032,Maduvankarai Bridge,,,,,80.2101801,13.003412099999998
POINT (80.2246263 13.0686453),,,Kovai Pazhamudir Nilayam,supermarket,,600094,Nelson Manickam Road,,,,,80.2246263,13.068645300000002
POINT (80.2248039 13.0698579),Nilgiri's,Q17079567,Nilgiri's,supermarket,,600094,Nelson Manickam Road,,,,,80.2248039,13.0698579
POINT (80.2144512 13.024337),,,Sumal Vegetables Market,supermarket,,,West Jones Road,,,,,80.2144512,13.024337
POINT (80.251867 13.0064298),,,,supermarket,,,,,,,,80.251867,13.006429799999998
POINT (80.2181179 12.9839879),,,,supermarket,,,,,,,,80.2181179,12.983987900000002
POINT (80.2093652 12.9648137),,,Shine Supermarket,supermarket,,,,,,,,80.2093652,12.9648137
POINT (80.2362976 13.0143187),,,gurunath stores,supermarket,chennai,600025,sardar patel road anna university ceg campus,,,08:30-20:30,,80.2362976,13.0143187
