geometry,amenity,brand,brand:en,brand:wikidata,brand:wikipedia,currency:INR,drive_through,indoor,name,note,opening_hours,operator,operator:en,operator:wikidata,operator:wikipedia,short_name,brand:hi,name:en,longitude,latitude
POINT (80.2099457 12.9472312),atm,Canara Bank,Canara Bank,Q2003777,,,,,,,,Canara Bank,,Q2003777,,,केनरा बैंक,Canara Bank,80.2099457,12.947231199999996
POINT (80.2069066 12.9580151),atm,,,,,,,,,,,,,,,,,,80.2069066,12.9580151
POINT (80.2620152 12.9771873),atm,,,,,,,,,,,,,,,,,,80.2620152,12.9771873
POINT (80.157572 13.1190245),atm,State Bank of India,State Bank of India,Q1340361,,yes,no,yes,State Bank of India,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,State Bank of India,State Bank of India,Q1340361,,SBI,,,80.157572,13.119024499999998
POINT (80.1571858 13.1185673),atm,Axis Bank,,Q2003549,,,,,Axis Bank,,,Axis Bank,,Q2003549,,,,,80.1571858,13.1185673
POINT (80.2365734 13.010885),atm,State Bank of India,State Bank of India,Q1340361,,yes,no,yes,State Bank of India,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,State Bank of India,State Bank of India,Q1340361,,SBI,,,80.2365734,13.010885
POINT (80.2365815 13.0109662),atm,Indian Bank,,Q2003789,,,,,Indian Bank,,,Indian Bank,,Q2003789,,,,,80.2365815,13.0109662
POINT (80.2365761 13.0109295),atm,Canara Bank,Canara Bank,Q2003777,,,,,Canara Bank,,,Canara Bank,,Q2003777,,,केनरा बैंक,Canara Bank,80.2365761,13.0109295
POINT (80.197456 13.0906312),atm,HDFC Bank,HDFC Bank,Q631047,,yes,no,yes,,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,HDFC Bank,HDFC Bank,Q631047,,HDFC,,,80.197456,13.0906312
POINT (80.2032432 12.9312463),atm,UCO Bank,,Q2005310,,,,,UCO Bank,,,UCO Bank,,Q2005310,,,,,80.2032432,12.931246300000002
POINT (80.2518985 12.9850549),atm,Axis Bank,,Q2003549,,,,,Axis Bank,,,Axis Bank,,Q2003549,,,,,80.2518985,12.9850549
POINT (80.2619056 12.9776563),atm,HDFC Bank,HDFC Bank,Q631047,,yes,no,yes,HDFC Bank,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,HDFC Bank,HDFC Bank,Q631047,,HDFC,,,80.2619056,12.9776563
POINT (80.2063461 13.0673948),atm,ICICI Bank,ICICI Bank,Q1653258,,yes,no,yes,,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,ICICI Bank,ICICI Bank,Q1653258,,ICICI,,,80.2063461,13.0673948
POINT (80.2059546 13.0672458),atm,Karur Vysya Bank,,Q6373724,,,,,,,,Karur Vysya Bank,,Q6373724,,,,,80.2059546,13.0672458
POINT (80.2053376 13.0672564),atm,State Bank of India,State Bank of India,Q1340361,,yes,no,yes,,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,State Bank of India,State Bank of India,Q1340361,,SBI,,,80.2053376,13.067256400000002
POINT (80.2224648 13.0252186),atm,ICICI Bank,ICICI Bank,Q1653258,en:ICICI Bank,yes,no,yes,ICICI Bank,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,ICICI Bank,ICICI Bank,Q1653258,en:ICICI Bank,ICICI,,,80.2224648,13.025218599999995
POINT (80.2164316 13.0367469),atm,,,,,,,,,,,Karur Vysa Bank ATM,,,,,,,80.2164316,13.036746899999995
POINT (80.1738652 13.0218567),atm,HDFC Bank,HDFC Bank,Q631047,,yes,no,yes,,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,HDFC Bank,HDFC Bank,Q631047,,HDFC,,,80.1738652,13.0218567
POINT (80.2037784 12.9342733),atm,HDFC Bank,HDFC Bank,Q631047,,yes,no,yes,HDFC Bank,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,HDFC Bank,HDFC Bank,Q631047,,HDFC,,,80.2037784,12.934273299999996
POINT (80.2394049 12.945469),atm,HDFC Bank,HDFC Bank,Q631047,,yes,no,yes,,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,HDFC Bank,HDFC Bank,Q631047,,HDFC,,,80.2394049,12.945469
POINT (80.2383175 12.9443554),atm,ICICI Bank,ICICI Bank,Q1653258,,yes,no,yes,,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,ICICI Bank,ICICI Bank,Q1653258,,ICICI,,,80.2383175,12.944355399999996
POINT (80.2398438 12.9463896),atm,ICICI Bank,ICICI Bank,Q1653258,,yes,no,yes,ICICI Bank,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,ICICI Bank,ICICI Bank,Q1653258,,ICICI,,,80.2398438,12.9463896
POINT (80.1931909 12.9824816),atm,HDFC Bank,HDFC Bank,Q631047,en:HDFC Bank,yes,no,yes,HDFC Bank,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,HDFC Bank,HDFC Bank,Q631047,en:HDFC Bank,HDFC,,,80.1931909,12.982481599999996
POINT (80.1880412 12.9855368),atm,Karur Vysya Bank,,Q6373724,en:Karur Vysya Bank,,no,,Karur Vysya Bank,,,Karur Vysya Bank,,Q6373724,en:Karur Vysya Bank,,,,80.1880412,12.985536799999997
POINT (80.1883532 12.976295),atm,Indian Overseas Bank,,Q2003611,en:Indian Overseas Bank,,,,Indian Overseas Bank,,,Indian Overseas Bank,,Q2003611,en:Indian Overseas Bank,,,,80.1883532,12.976294999999997
POINT (80.1885197 12.9861219),atm,Indian Overseas Bank,,Q2003611,en:Indian Overseas Bank,,,,Indian Overseas Bank,,,Indian Overseas Bank,,Q2003611,en:Indian Overseas Bank,,,,80.1885197,12.986121900000002
POINT (80.1886779 12.9857036),atm,State Bank of India,State Bank of India,Q1340361,en:State Bank of India,yes,no,yes,State Bank of India,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,State Bank of India,State Bank of India,Q1340361,en:State Bank of India,SBI,,,80.1886779,12.9857036
POINT (80.1984144 12.9649901),atm,HDFC Bank,HDFC Bank,Q631047,,yes,no,yes,,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,HDFC Bank,HDFC Bank,Q631047,,HDFC,,,80.1984144,12.9649901
POINT (80.1779117 13.0185251),atm,Allahabad Bank,,Q2018840,en:Allahabad Bank,,,,Allahabad Bank,,,Allahabad Bank,,Q2018840,,,,Allahabad Bank,80.1779117,13.018525100000002
POINT (80.190054 12.9828837),atm,Bank of India,,Q2004439,en:Bank of India,,,,Bank of India,,,Bank of India,,Q2004439,en:Bank of India,,,,80.190054,12.9828837
POINT (80.2702977 13.0753058),atm,,,,,,,,,,,Karur Vysya Bank ATM,,,,,,,80.2702977,13.0753058
